participant,block,trial,trial_true,this_Shape,this_Location,image,intensity,response,RT
130,1,1,1,BC,BR,BC_BR_1,1,1,0.762520949007012
130,1,2,2,BC,TL,BC_TL_1,0.9772372209558107,1,0.45783764400403015
130,1,3,3,BC,BR,BC_BR_1,0.954992586021436,0,0.5210926229774486
130,1,4,4,BC,BR,BC_BR_1,0.9772372209558107,1,0.5713095410028473
130,1,5,5,NA,NA,Null_3,0.9772372209558107,1,0.6440538039896637
130,1,6,6,BC,TL,BC_TL_1,0.9772372209558107,1,0.8658582700008992
130,1,7,7,BC,BR,BC_BR_1,0.954992586021436,1,0.47693360201083124
130,1,8,8,BC,BR,BC_BR_1,0.954992586021436,1,0.36523427098290995
130,1,9,9,BC,BR,BC_BR_1,0.954992586021436,1,0.3893036600202322
130,1,10,10,NA,NA,Null_3,0.9332543007969911,1,0.4464946200023405
130,2,11,11,C,TL,C_TL_1,1,0,0.9673303099989425
130,2,12,12,C,TL,C_TL_1,1,1,0.6317965539928991
130,2,13,13,NA,NA,Null_2,0.9772372209558107,0,0.6809928749862593
130,2,14,14,C,BR,C_BR_1,1.0,1,0.38171000700094737
130,2,15,15,C,TL,C_TL_1,1.0,1,0.37767392201931216
130,2,16,16,C,TL,C_TL_1,1.0,1,0.1791252009861637
130,2,17,17,C,BR,C_BR_1,0.9772372209558107,1,0.6924144979857374
